Id,SalePrice
1461,105000.0
1462,157000.0
1463,194000.0
1464,178000.0
1465,189000.0
1466,187500.0
1467,154500.0
1468,177000.0
1469,219500.0
1470,111250.0
1471,173000.0
1472,94500.0
1473,94500.0
1474,148500.0
1475,140000.0
1476,611657.0
1477,255000.0
1478,315500.0
1479,147000.0
1480,466500.0
1481,285000.0
1482,202500.0
1483,169990.0
1484,213490.0
1485,180000.0
1486,183500.0
1487,423000.0
1488,252000.0
1489,176000.0
1490,218000.0
1491,227680.0
1492,58500.0
1493,170000.0
1494,337000.0
1495,325000.0
1496,190000.0
1497,208900.0
1498,160000.0
1499,160000.0
1500,180000.0
1501,200000.0
1502,133000.0
1503,394617.0
1504,282922.0
1505,221000.0
1506,155000.0
1507,215000.0
1508,190000.0
1509,179900.0
1510,159950.0
1511,157000.0
1512,197500.0
1513,110000.0
1514,165000.0
1515,259500.0
1516,228950.0
1517,157000.0
1518,131500.0
1519,230000.0
1520,142000.0
1521,150000.0
1522,148000.0
1523,105000.0
1524,122000.0
1525,125000.0
1526,94750.0
1527,115000.0
1528,142000.0
1529,150000.0
1530,170000.0
1531,106000.0
1532,119000.0
1533,130000.0
1534,100000.0
1535,160000.0
1536,125000.0
1537,58500.0
1538,161000.0
1539,538000.0
1540,90000.0
1541,135000.0
1542,140200.0
1543,237000.0
1544,88000.0
1545,118000.0
1546,164500.0
1547,141500.0
1548,135000.0
1549,75000.0
1550,141500.0
1551,115000.0
1552,90000.0
1553,135000.0
1554,137500.0
1555,274970.0
1556,115000.0
1557,166000.0
1558,117000.0
1559,138000.0
1560,167000.0
1561,163500.0
1562,130000.0
1563,124900.0
1564,180000.0
1565,179900.0
1566,246578.0
1567,135000.0
1568,231500.0
1569,223500.0
1570,123000.0
1571,113000.0
1572,144900.0
1573,190000.0
1574,160000.0
1575,230000.0
1576,190000.0
1577,176000.0
1578,194000.0
1579,148500.0
1580,201800.0
1581,176000.0
1582,131000.0
1583,305900.0
1584,268000.0
1585,136500.0
1586,116000.0
1587,108000.0
1588,157000.0
1589,127500.0
1590,107000.0
1591,130000.0
1592,132000.0
1593,120000.0
1594,187000.0
1595,90000.0
1596,222500.0
1597,235000.0
1598,212000.0
1599,209500.0
1600,189000.0
1601,83000.0
1602,123000.0
1603,58500.0
1604,271000.0
1605,245000.0
1606,171500.0
1607,146000.0
1608,227680.0
1609,178740.0
1610,156932.0
1611,144000.0
1612,156932.0
1613,167900.0
1614,125000.0
1615,125500.0
1616,164500.0
1617,94500.0
1618,130000.0
1619,130250.0
1620,200000.0
1621,78000.0
1622,179900.0
1623,324000.0
1624,185000.0
1625,115000.0
1626,218000.0
1627,205000.0
1628,275500.0
1629,187500.0
1630,423000.0
1631,265900.0
1632,232000.0
1633,168500.0
1634,193000.0
1635,183200.0
1636,149350.0
1637,200000.0
1638,192000.0
1639,185750.0
1640,260000.0
1641,182900.0
1642,253000.0
1643,254000.0
1644,254000.0
1645,175000.0
1646,169900.0
1647,175500.0
1648,148000.0
1649,142000.0
1650,111250.0
1651,111250.0
1652,85400.0
1653,94500.0
1654,146000.0
1655,140000.0
1656,146000.0
1657,146000.0
1658,146000.0
1659,140000.0
1660,147000.0
1661,437154.0
1662,501837.0
1663,315000.0
1664,184750.0
1665,360000.0
1666,307000.0
1667,423000.0
1668,319900.0
1669,277500.0
1670,314813.0
1671,311872.0
1672,466500.0
1673,310000.0
1674,252000.0
1675,194700.0
1676,196000.0
1677,230000.0
1678,466500.0
1679,440000.0
1680,318061.0
1681,264132.0
1682,312500.0
1683,185850.0
1684,188500.0
1685,174000.0
1686,159895.0
1687,188500.0
1688,180000.0
1689,196000.0
1690,184000.0
1691,168500.0
1692,248000.0
1693,180000.0
1694,196000.0
1695,168500.0
1696,265000.0
1697,168500.0
1698,316600.0
1699,350000.0
1700,200000.0
1701,240000.0
1702,252000.0
1703,245000.0
1704,324000.0
1705,232000.0
1706,466500.0
1707,200141.0
1708,176000.0
1709,313000.0
1710,229456.0
1711,255500.0
1712,236500.0
1713,220000.0
1714,220000.0
1715,175500.0
1716,146000.0
1717,160000.0
